sku;name;weight;price;category;stock;description;image
5TSEQNH4V;Máscara Matizadora Silver EcoBelle 300g;300g;50.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-matizadora-silver-ecobelle-300g-647a24e908e55-large.png
6LFK8W4AH;Shampoo Quartzo Liquide La Boue EcoBelle 300ml;300ml;40.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-quartzo-liquide-la-boue-ecobelle-300ml-647a290bac5e1-large.png
ELGU4ASKD;Shampoo Quartzo Liquide La Boue EcoBelle 500ml;500ml;80.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-quartzo-liquide-la-boue-ecobelle-500ml-647a297794663-large.png
AYE76QWA3;Gran Finale Blond Protetor Térmico Eco Belle - 200 mL;200 mL;80.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/gran-finale-blond-protetor-termico-eco-belle-200-ml-64ef7eb8006b0-large.png
KSD694YBA;Óleo de Ojon EcoBelle 60 mL;60 mL;69.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/oleo-de-ojon-ecobelle-60-ml-650dc4147e0dd-large.png
W35UTMS43;Shampoo Curlys Cachos Bela Pro 300 mL;300 mL;22.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-curlys-cachos-bela-pro-300-ml-653725d249142-large.png
Y6H5QMT4P;Condicionador Curlys Cachos Bela Pro 300 mL;300 mL;22.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-curlys-cachos-bela-pro-300-ml-653727380b1a3-large.png
KRHCCVSJL;Kit Silver Platinum Bela Pro;;90.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-silver-platinum-bela-pro-66c69cdc562cf-large.png
TJFJENBKK;Máscara HidraSim Bela Pro 300 g;300 g;36.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-hidrasim-bela-pro-300-g-65373a7bc11d5-large.png
5CHY7ST96;Kit Shampoo e Condicionador TEA by As Marias 500 mL;500 mL;42.10;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-shampoo-e-condicionador-tea-by-as-marias-500-ml-67d4a6218337c-large.png
8MBYSWDEF;Máscara Matizadora EcoBelle 1 kg;1 kg;140.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-matizadora-ecobelle-1-kg-66ffeae1ef321-large.png
